Designator,Package,Mid X,Mid Y,Layer,Rotation,Comment
LED250,SK6805-1515,126.052,110.477,Front,179.9,SK6805-1515 LED
LED251,SK6805-1515,126.052,111.813,Front,179.9,SK6805-1515 LED
LED252,SK6805-1515,126.052,113.149,Front,179.9,SK6805-1515 LED
LED253,SK6805-1515,126.052,133.283,Front,179.9,SK6805-1515 LED
LED254,SK6805-1515,126.052,136.238,Front,179.9,SK6805-1515 LED
LED255,SK6805-1515,126.052,139.192,Front,179.9,SK6805-1515 LED
LED256,SK6805-1515,126.052,122.607,Front,179.9,SK6805-1515 LED
LED257,SK6805-1515,126.052,124.094,Front,179.9,SK6805-1515 LED
LED258,SK6805-1515,126.052,125.581,Front,179.9,SK6805-1515 LED
LED259,SK6805-1515,126.052,127.068,Front,179.9,SK6805-1515 LED
LED260,SK6805-1515,126.052,128.555,Front,179.9,SK6805-1515 LED
LED261,SK6805-1515,126.052,130.042,Front,179.9,SK6805-1515 LED
LED262,SK6805-1515,126.052,131.529,Front,179.9,SK6805-1515 LED
LED263,SK6805-1515,126.051,157.127,Front,179.9,SK6805-1515 LED
LED264,SK6805-1515,126.051,160.057,Front,179.9,SK6805-1515 LED
LED265,SK6805-1515,125.694,162.958,Front,168.1,SK6805-1515 LED
LED266,SK6805-1515,126.052,141.047,Front,179.9,SK6805-1515 LED
LED267,SK6805-1515,126.052,142.464,Front,179.9,SK6805-1515 LED
LED268,SK6805-1515,126.051,143.881,Front,179.9,SK6805-1515 LED
LED269,SK6805-1515,126.051,145.298,Front,179.9,SK6805-1515 LED
LED270,SK6805-1515,126.051,146.715,Front,179.9,SK6805-1515 LED
LED271,SK6805-1515,126.051,148.132,Front,179.9,SK6805-1515 LED
LED272,SK6805-1515,126.051,149.549,Front,179.9,SK6805-1515 LED
LED273,SK6805-1515,126.051,150.966,Front,179.9,SK6805-1515 LED
LED274,SK6805-1515,126.051,152.383,Front,179.9,SK6805-1515 LED
LED275,SK6805-1515,126.051,153.8,Front,179.9,SK6805-1515 LED
LED276,SK6805-1515,126.051,155.217,Front,179.9,SK6805-1515 LED
LED277,SK6805-1515,63.897,223.436,Front,133.8,SK6805-1515 LED
LED278,SK6805-1515,61.756,225.49,Front,133.8,SK6805-1515 LED
LED279,SK6805-1515,59.614,227.543,Front,133.8,SK6805-1515 LED
LED280,SK6805-1515,124.958,164.673,Front,154,SK6805-1515 LED
LED281,SK6805-1515,124.226,165.781,Front,141.5,SK6805-1515 LED
LED282,SK6805-1515,123.353,166.783,Front,136.8,SK6805-1515 LED
LED283,SK6805-1515,122.395,167.706,Front,133.6,SK6805-1515 LED
LED284,SK6805-1515,121.433,168.624,Front,133.6,SK6805-1515 LED
LED285,SK6805-1515,120.47,169.542,Front,133.6,SK6805-1515 LED
LED286,SK6805-1515,119.507,170.459,Front,133.6,SK6805-1515 LED
LED287,SK6805-1515,118.545,171.377,Front,133.6,SK6805-1515 LED
LED288,SK6805-1515,117.582,172.295,Front,133.6,SK6805-1515 LED
LED289,SK6805-1515,116.619,173.212,Front,133.6,SK6805-1515 LED
LED290,SK6805-1515,115.657,174.13,Front,133.6,SK6805-1515 LED
LED291,SK6805-1515,114.694,175.048,Front,133.6,SK6805-1515 LED
LED292,SK6805-1515,113.731,175.965,Front,133.6,SK6805-1515 LED
LED293,SK6805-1515,112.768,176.883,Front,133.6,SK6805-1515 LED
LED294,SK6805-1515,111.806,177.801,Front,133.6,SK6805-1515 LED
LED295,SK6805-1515,110.843,178.718,Front,133.6,SK6805-1515 LED
LED296,SK6805-1515,54.453,252.345,Front,180,SK6805-1515 LED
LED297,SK6805-1515,54.453,255.298,Front,180,SK6805-1515 LED
LED298,SK6805-1515,54.453,258.251,Front,180,SK6805-1515 LED
LED299,SK6805-1515,94.974,193.843,Front,133.6,SK6805-1515 LED
LED300,SK6805-1515,93.987,194.784,Front,133.6,SK6805-1515 LED
LED301,SK6805-1515,93.001,195.724,Front,133.6,SK6805-1515 LED
LED302,SK6805-1515,92.014,196.665,Front,133.6,SK6805-1515 LED
LED303,SK6805-1515,91.028,197.605,Front,133.6,SK6805-1515 LED
LED304,SK6805-1515,90.041,198.545,Front,133.6,SK6805-1515 LED
LED305,SK6805-1515,89.054,199.486,Front,133.6,SK6805-1515 LED
LED306,SK6805-1515,88.068,200.426,Front,133.6,SK6805-1515 LED
LED307,SK6805-1515,87.081,201.367,Front,133.6,SK6805-1515 LED
LED308,SK6805-1515,86.095,202.307,Front,133.6,SK6805-1515 LED
LED309,SK6805-1515,85.108,203.248,Front,133.6,SK6805-1515 LED
LED310,SK6805-1515,84.122,204.188,Front,133.6,SK6805-1515 LED
LED311,SK6805-1515,83.135,205.129,Front,133.6,SK6805-1515 LED
LED312,SK6805-1515,82.148,206.069,Front,133.6,SK6805-1515 LED
LED313,SK6805-1515,81.162,207.009,Front,133.6,SK6805-1515 LED
LED314,SK6805-1515,80.175,207.95,Front,133.6,SK6805-1515 LED
LED315,SK6805-1515,79.189,208.89,Front,133.6,SK6805-1515 LED
LED316,SK6805-1515,78.202,209.831,Front,133.6,SK6805-1515 LED
LED317,SK6805-1515,77.216,210.771,Front,133.6,SK6805-1515 LED
LED318,SK6805-1515,76.229,211.712,Front,133.6,SK6805-1515 LED
LED319,SK6805-1515,75.242,212.652,Front,133.6,SK6805-1515 LED
LED320,SK6805-1515,74.256,213.593,Front,133.6,SK6805-1515 LED
LED321,SK6805-1515,73.269,214.533,Front,133.6,SK6805-1515 LED
LED322,SK6805-1515,72.283,215.474,Front,133.6,SK6805-1515 LED
LED323,SK6805-1515,71.296,216.414,Front,133.6,SK6805-1515 LED
LED324,SK6805-1515,70.31,217.354,Front,133.6,SK6805-1515 LED
LED325,SK6805-1515,69.323,218.295,Front,133.6,SK6805-1515 LED
LED326,SK6805-1515,68.336,219.235,Front,133.6,SK6805-1515 LED
LED327,SK6805-1515,67.35,220.176,Front,133.6,SK6805-1515 LED
LED328,SK6805-1515,66.363,221.116,Front,133.6,SK6805-1515 LED
LED329,SK6805-1515,65.377,222.057,Front,133.6,SK6805-1515 LED
LED330,SK6805-1515,54.453,271.737,Front,180,SK6805-1515 LED
LED331,SK6805-1515,54.453,274.717,Front,180,SK6805-1515 LED
LED332,SK6805-1515,54.453,277.696,Front,180,SK6805-1515 LED
LED333,SK6805-1515,58.16,228.936,Front,133.6,SK6805-1515 LED
LED334,SK6805-1515,57.21,229.968,Front,141,SK6805-1515 LED
LED335,SK6805-1515,56.395,231.11,Front,147.8,SK6805-1515 LED
LED336,SK6805-1515,55.718,232.34,Front,154.4,SK6805-1515 LED
LED337,SK6805-1515,55.182,233.637,Front,160.7,SK6805-1515 LED
LED338,SK6805-1515,54.791,234.984,Front,166.8,SK6805-1515 LED
LED339,SK6805-1515,54.547,236.366,Front,173,SK6805-1515 LED
LED340,SK6805-1515,54.454,237.767,Front,179.3,SK6805-1515 LED
LED341,SK6805-1515,54.453,239.171,Front,180,SK6805-1515 LED
LED342,SK6805-1515,54.453,240.575,Front,180,SK6805-1515 LED
LED343,SK6805-1515,54.453,241.979,Front,180,SK6805-1515 LED
LED344,SK6805-1515,54.453,243.383,Front,180,SK6805-1515 LED
LED345,SK6805-1515,54.453,244.787,Front,180,SK6805-1515 LED
LED346,SK6805-1515,54.453,246.191,Front,180,SK6805-1515 LED
LED347,SK6805-1515,54.453,247.595,Front,180,SK6805-1515 LED
LED348,SK6805-1515,54.453,248.999,Front,180,SK6805-1515 LED
LED349,SK6805-1515,54.453,250.403,Front,180,SK6805-1515 LED
LED350,SK6805-1515,54.453,291.4,Front,180,SK6805-1515 LED
LED351,SK6805-1515,54.453,294.338,Front,180,SK6805-1515 LED
LED352,SK6805-1515,54.453,297.276,Front,180,SK6805-1515 LED
LED353,SK6805-1515,54.453,260.06,Front,180,SK6805-1515 LED
LED354,SK6805-1515,54.453,261.458,Front,180,SK6805-1515 LED
LED355,SK6805-1515,54.453,262.856,Front,180,SK6805-1515 LED
LED356,SK6805-1515,54.453,264.254,Front,180,SK6805-1515 LED
LED357,SK6805-1515,54.453,265.652,Front,180,SK6805-1515 LED
LED358,SK6805-1515,54.453,267.05,Front,180,SK6805-1515 LED
LED359,SK6805-1515,54.453,268.448,Front,180,SK6805-1515 LED
LED360,SK6805-1515,54.453,269.846,Front,180,SK6805-1515 LED
LED361,SK6805-1515,54.453,310.688,Front,180,SK6805-1515 LED
LED362,SK6805-1515,54.453,313.666,Front,180,SK6805-1515 LED
LED363,SK6805-1515,54.453,316.644,Front,180,SK6805-1515 LED
LED364,SK6805-1515,54.453,279.417,Front,180,SK6805-1515 LED
LED365,SK6805-1515,54.453,280.831,Front,180,SK6805-1515 LED
LED366,SK6805-1515,54.453,282.245,Front,180,SK6805-1515 LED
LED367,SK6805-1515,54.453,283.659,Front,180,SK6805-1515 LED
LED368,SK6805-1515,54.453,285.073,Front,180,SK6805-1515 LED
