Designator,Package,Mid X,Mid Y,Layer,Rotation,Comment
LED331,SK6805-1515,91.295,12.09,Front,168.9,SK6805-1515 LED
LED332,SK6805-1515,91.138,14.397,Front,180,SK6805-1515 LED
LED333,SK6805-1515,91.138,16.714,Front,180,SK6805-1515 LED
LED334,SK6805-1515,91.138,19.031,Front,180,SK6805-1515 LED
LED335,SK6805-1515,91.138,21.348,Front,180,SK6805-1515 LED
LED336,SK6805-1515,91.138,23.665,Front,180,SK6805-1515 LED
LED337,SK6805-1515,91.138,25.982,Front,180,SK6805-1515 LED
LED338,SK6805-1515,91.138,28.299,Front,180,SK6805-1515 LED
LED339,SK6805-1515,91.138,30.616,Front,180,SK6805-1515 LED
LED340,SK6805-1515,91.138,32.933,Front,180,SK6805-1515 LED
LED341,SK6805-1515,91.138,35.25,Front,180,SK6805-1515 LED
LED342,SK6805-1515,91.138,54.714,Front,180,SK6805-1515 LED
LED343,SK6805-1515,91.138,57.129,Front,180,SK6805-1515 LED
LED344,SK6805-1515,91.138,59.544,Front,180,SK6805-1515 LED
LED345,SK6805-1515,91.138,61.959,Front,180,SK6805-1515 LED
LED346,SK6805-1515,91.138,64.374,Front,180,SK6805-1515 LED
LED347,SK6805-1515,91.138,66.789,Front,180,SK6805-1515 LED
LED348,SK6805-1515,91.138,69.204,Front,180,SK6805-1515 LED
LED349,SK6805-1515,91.138,71.619,Front,180,SK6805-1515 LED
LED350,SK6805-1515,91.138,74.034,Front,180,SK6805-1515 LED
LED351,SK6805-1515,91.138,76.449,Front,180,SK6805-1515 LED
LED352,SK6805-1515,91.138,95.736,Front,180,SK6805-1515 LED
LED353,SK6805-1515,91.138,97.957,Front,180,SK6805-1515 LED
LED354,SK6805-1515,91.138,100.178,Front,180,SK6805-1515 LED
LED355,SK6805-1515,91.138,102.399,Front,180,SK6805-1515 LED
LED356,SK6805-1515,91.138,104.62,Front,180,SK6805-1515 LED
LED357,SK6805-1515,91.138,106.694,Front,180,SK6805-1515 LED
LED358,SK6805-1515,91.138,108.992,Front,180,SK6805-1515 LED
LED359,SK6805-1515,91.138,111.29,Front,180,SK6805-1515 LED
LED360,SK6805-1515,91.138,113.588,Front,180,SK6805-1515 LED
LED361,SK6805-1515,91.138,115.886,Front,180,SK6805-1515 LED
LED362,SK6805-1515,91.138,118.184,Front,180,SK6805-1515 LED
LED363,SK6805-1515,91.138,120.482,Front,180,SK6805-1515 LED
LED364,SK6805-1515,91.089,122.779,Front,175.9,SK6805-1515 LED
